backbone,rho_l2_10,rho_linf_10_eps0375_255,n_l2
clip_rn101,0.27714526211114876,0.2090662682740305,872
clip_rn50,0.3171452948032911,0.2415615659075047,851
clip_vit_l14,0.19992844506710483,0.2335976695185593,953
clip_vitb16,0.4871564002688542,0.3941499169183666,919
convnext_base,0.5725990512983969,0.5513313311966177,961
convnext_large,0.45173961811716845,0.4331909168164762,969
convnext_small,0.49669211588658824,0.4817770640391079,965
convnext_tiny,0.5658422124472882,0.552797045629899,953
deit3_large_patch16_224,0.42808065947300644,0.3839234887120248,975
deit3_medium_patch16_224,1.0118145020198757,0.8602970949046691,950
deit3_small_patch16_224,0.43278746652538946,0.4083113195859972,946
deit3_vitb16,0.43492634625814375,0.3989498434934901,963
deit_base_patch16_224,0.7363539674202184,0.6074977560826453,953
deit_small_patch16_224,0.610073080433267,0.4520082808317294,932
deit_tiny,0.512631399519897,0.3670495373812557,885
densenet121,0.35332901932513683,0.3105129929764465,911
densenet201,0.27420028625585946,0.2582395423618067,929
dino_resnet50,0.35247463992915584,0.3123492987178395,887
dino_vitb16,0.1702742604116253,0.1302679113964515,917
dino_vitb8,0.1266468909845102,0.1179865303216445,930
dino_vits16,0.16208680842968137,0.1471765877695663,909
dinov2_vitb14,0.3538796481573385,0.3174407783624016,963
dinov2_vitl14,0.41396509017442185,0.3919995210248128,965
dinov2_vits14,0.27744738928138035,0.2395385415447033,924
efficientnet_b0,0.1848166118650596,0.2054546121469647,923
efficientnet_b1,0.22543135417120386,0.2570116534101729,932
efficientnet_b3,0.45681465954810996,0.4446003799390734,936
mixer_b16_224,0.42511100753630693,0.3233478137671712,912
mobilenetv3_large_100,0.3222784052292589,0.2841927293199688,911
resnet101,0.4129505236230564,0.3495614927446111,932
resnet152,0.41279475535225707,0.336179565363917,951
resnet18,0.28819647563503326,0.286337307288754,892
resnet34,0.3867724140754234,0.3749167926176704,923
resnet50_timm,0.4111454965732778,0.3483454088751134,928
swin_base_patch4_window7_224,0.9405520446487394,0.8631484474257518,960
swin_small_patch4_window7_224,0.5597570826468057,0.599875940167335,959
swin_tiny_patch4_window7_224,0.6743491233879824,0.6446087689403912,950
swinv2_tiny_window8_256,0.7491039886178481,0.7783861563984829,961
vit_base_patch16_224,0.6797824929813953,0.6424551428401721,967
vit_small_patch16_224,0.3455488041209107,0.2503973021903407,916
vit_tiny_patch16_224,0.3356461202664507,0.2612525897565467,890
wide_resnet50_2,0.47952343180903156,0.4174232353585072,947
