encoder,pretty_encoder,family,n_samples,in_raw_pool,in_analytical_pool,R5,n_R5,rho5,mean_rho5,R10,n_R10,rho10,mean_rho10,R20,n_R20,rho20,mean_rho20,R50,n_R50,rho50,mean_rho50,R100,n_R100,rho100,mean_rho100,R200,n_R200,rho200,mean_rho200,R500,n_R500,rho500,mean_rho500,delta_R_10_200,conditional_collapse_10_200,conditional_collapse_10_200_pp,n_pass10_common,n_common_10_200,bar_lambda,bar_kappa,bar_tau10,bar_rho10,rho10_q75,rho10_q90,rho10_iqr,rho10_mad,median_Lp,median_raw_gap_10,median_D_pgd10,median_D_fgsm,aggregate_delta_R_10_200,aggregate_baseline_src
clip_rn101,clip_rn101,CLIP / multimodal,872,True,False,,0,,,11.46788990825688,872,0.27714526211114876,0.28953953050660497,4.128440366972478,872,0.3500689619917958,0.36796546274719816,,0,,,,0,,,0.573394495412844,872,0.5039992863525953,0.5371290171464254,,0,,,10.894495412844037,0.95,95.0,100,872,0.20212042331695557,0.8763696187431638,-0.5917068719863892,0.27714526211114876,0.3428460933380466,0.4223175454505339,0.12306452577564442,0.06162374341650789,13.509544372558594,3.847657646812999,5.605004492553178,1.6627918832726993,10.894495412844037,expanded_pool
clip_rn50,clip_rn50,CLIP / multimodal,851,True,False,,0,,,3.8777908343125738,851,0.3171452948032911,0.3250361340590929,1.410105757931845,851,0.4024192102951174,0.4201939483128282,,0,,,,0,,,0.0,851,0.6210813511871143,0.7028099433268991,,0,,,3.8777908343125738,1.0,100.0,33,851,0.1754283457994461,0.8445209155062807,-0.5250681042671204,0.3171452948032911,0.37616220523354293,0.4387417532724234,0.11258834296088605,0.05609593614748398,14.355752944946289,4.5975806191059165,6.851429004359886,2.192870151753484,3.8777908343125738,expanded_pool
clip_vit_l14,CLIP ViT-L/14,CLIP / multimodal,953,True,True,,0,,,48.58342077649528,953,0.19992844506710483,0.22202425372143922,31.269674711437567,953,0.2621087955813204,0.2928230695106108,18.57292759706191,953,0.32693925831171367,0.3601622494401375,,0,,,9.024134312696747,953,0.3982386002689964,0.4479242375316879,,0,,,39.559286463798536,0.8142548596112311,81.42548596112312,463,953,0.2373557686805725,0.947469387892629,-0.7402417063713074,0.19992844506710483,0.2870870477879883,0.39382422510209225,0.16243156263479008,0.07939222762626841,29.468299865722656,5.70996918518793,7.358033955081851,1.5149576471814892,39.55928646379853,expanded_pool
clip_vitb16,CLIP ViT-B/16,CLIP / multimodal,919,True,True,42.00217627856366,919,0.30469920536227235,0.32055493370978544,23.5038084874864,919,0.4871564002688542,0.5186012180263071,15.560391730141458,919,0.5785079613166761,0.6255887918613463,10.228509249183896,919,0.67083651179108,0.7351283822168876,7.50816104461371,919,0.7299328066560978,0.8062783292230015,5.8759521218716,919,0.7913725436379067,0.870610410538889,,0,,,17.6278563656148,0.75,75.0,216,919,0.5143280625343323,0.7324617388477996,-0.2355148196220398,0.4871564002688542,0.6021336306982824,0.7295074660098965,0.20807080716640114,0.10027130129441864,10.317230224609375,5.253503792669764,8.15659904477559,2.717302327494183,17.6278563656148,day1
convnext_base,ConvNeXt-B,ConvNeXt,961,True,True,74.81789802289282,961,0.3643161346358177,0.4668866672582168,67.42976066597295,961,0.5725990512983969,0.8141289786041004,57.33610822060354,961,0.8393141317600608,1.2888170549956586,43.49635796045786,961,1.2582010554029077,2.043190214806929,35.796045785639954,961,1.5488232222367415,2.5833671740515642,31.21748178980229,961,1.9272395179150958,3.0096804114805686,,0,,,36.21227887617066,0.5370370370370371,53.70370370370371,648,961,2.050675630569458,0.4932787222081094,0.13554692268371582,0.5725990512983969,0.9798116485029169,1.671166321911755,0.6129099437162573,0.2519856182293396,4.991161346435547,3.400299862946317,5.670224116677105,2.050644880116864,36.212278876170664,expanded_pool
convnext_large,ConvNeXt-L,ConvNeXt,969,True,True,79.36016511867905,969,0.26547774027821447,0.3591176807246405,68.21465428276574,969,0.45173961811716845,0.6976183290014907,57.997936016511865,969,0.6479467743879255,1.0679036163180557,40.55727554179567,969,0.9458500176332656,1.6203657260631743,31.372549019607842,969,1.2258017085217832,2.0243399981939945,26.625386996904027,969,1.495398484731009,2.4060979265524653,20.94943240454076,969,1.7561296973370912,2.7903416478143597,41.58926728586171,0.6096822995461422,60.968229954614216,661,969,1.1346817016601562,0.8362800773054282,-0.30693063139915466,0.45173961811716845,0.8020059666955959,1.4236202762863561,0.5462332557568033,0.24897164221567314,9.370315551757812,4.1592354471249005,5.626689888047736,1.1930045323732572,41.589267285861716,expanded_pool
convnext_small,ConvNeXt-S,ConvNeXt,965,True,True,71.19170984455958,965,0.3186929580516278,0.37212431512487426,58.96373056994819,965,0.49669211588658824,0.642289708788899,50.88082901554404,965,0.6405284005496235,0.8811329959381703,39.689119170984455,965,0.8460875999509454,1.2439672956373384,32.7461139896373,965,1.0201779886881868,1.5486171150946504,28.186528497409324,965,1.2055543821270547,1.8492393276210188,,0,,,30.777202072538866,0.5219683655536028,52.196836555360285,569,965,1.0792243480682373,0.7795784209305459,-0.2165868729352951,0.49669211588658824,0.7922192630874605,1.2208247411942152,0.4612389026313366,0.20203584228891147,9.19340991973877,5.265564153313134,7.32495214517904,1.8618441251910847,30.777202072538866,day1
convnext_tiny,ConvNeXt-T,ConvNeXt,953,True,True,64.6379853095488,953,0.35737798643646457,0.40654485839785454,51.41657922350472,953,0.5658422124472882,0.692042196953015,42.60230849947534,953,0.7287564422724402,0.9426506876683979,30.535152151101784,953,0.9901352436261384,1.33610911895835,24.554039874081845,953,1.188334940405074,1.644093902435577,20.88142707240294,953,1.3471421172995042,1.8899238066709803,,0,,,30.53515215110178,0.5938775510204082,59.38775510204082,490,953,0.9587874412536621,0.7417882584440463,-0.13777513802051544,0.5658422124472882,0.8373339690914028,1.2268484092734049,0.4457670248232004,0.20590783829485293,10.59632682800293,6.603699851453468,9.631904607540719,2.3288565962821575,30.535152151101784,day1
deit3_large_patch16_224,deit3_large_patch16_224,Supervised ViT / DeiT / DeiT3,975,True,True,88.1025641025641,975,0.23685764439730406,0.3508313450047142,84.2051282051282,975,0.42808065947300644,0.6717330969346795,81.02564102564102,975,0.5848471804706146,1.0152477523509456,73.94871794871794,975,0.7583360847551457,1.417411091888459,67.8974358974359,975,0.89456856995821,1.7441706291186962,63.69230769230769,975,1.0339366210882162,2.065287695243748,,0,,,20.51282051282051,0.243605359317905,24.3605359317905,821,975,2.287726640701294,0.7066867259929754,-0.15985453128814697,0.42808065947300644,0.7789187433880436,1.390706429079495,0.5524394486692392,0.23511052305228208,3.6449155807495117,1.6493199551544955,2.603227569011935,0.7308750125273706,20.512820512820518,day1
deit3_medium_patch16_224,deit3_medium_patch16_224,Supervised ViT / DeiT / DeiT3,950,True,True,67.36842105263158,950,0.5197949948587197,0.6211616376925263,36.0,950,1.0118145020198757,1.1885706202173605,18.947368421052634,950,1.392787509445982,1.6293144716921837,11.052631578947368,950,1.7785070131392287,2.100576939006121,8.736842105263158,950,2.0430998780587304,2.417083806548234,7.894736842105263,950,2.2317404118570785,2.696946337701961,,0,,,28.105263157894736,0.7807017543859649,78.0701754385965,342,950,1.2629908919334412,0.6583142747984554,0.42871470749378204,1.0118145020198757,1.558236211190904,2.1801886622123248,0.9533360839242466,0.44530631080872896,7.06055212020874,7.851671860626217,10.890182453715909,2.3827149478786627,28.105263157894733,day1
deit3_small_patch16_224,deit3_small_patch16_224,Supervised ViT / DeiT / DeiT3,946,True,True,70.82452431289641,946,0.2765688065236622,0.3427951900026526,63.530655391120504,946,0.43278746652538946,0.575563207565722,58.7737843551797,946,0.5707026753934552,0.7563023643337519,51.90274841437632,946,0.7262520901571325,0.9797642712112016,47.040169133192386,946,0.8229199919542746,1.1305431906508718,43.97463002114165,946,0.9048640407281887,1.2783385675274759,,0,,,19.556025369978855,0.30782029950083195,30.782029950083196,601,946,1.5096470713615417,0.4773955312957507,-0.0008241560935857706,0.43278746652538946,0.704690543425269,1.09540924072882,0.4299809491907781,0.19174304885323679,7.490210294723511,3.510530596412657,7.091215110330916,2.8827027285533893,19.556025369978858,day1
deit3_vitb16,DeiT3 ViT-B/16,Supervised ViT / DeiT / DeiT3,963,True,True,82.65835929387332,963,0.2740859872222714,0.33800548010682796,79.33541017653167,963,0.43492634625814375,0.5979267438583394,75.80477673935619,963,0.5716119373051809,0.8376411585701594,71.23572170301142,963,0.7568772187251653,1.132113950750571,66.7705088265836,963,0.8508211585439085,1.3399118939433008,63.862928348909655,963,0.9379606691454656,1.5174852382093889,59.39771547248183,963,1.0583527130824173,1.7385048193506958,15.472481827622012,0.1950261780104712,19.50261780104712,764,963,2.532419204711914,0.45278216940695293,0.033852268010377884,0.43492634625814375,0.7338719480558993,1.1289775560053323,0.4375006847394589,0.1778981062184518,3.9602677822113037,1.9901886455600195,3.8713269073102197,1.484090849267862,15.472481827622019,day1
deit_base_patch16_224,DeiT-Base,Supervised ViT / DeiT / DeiT3,953,True,True,75.55089192025184,953,0.3725336639512289,0.4443193229051479,61.90975865687304,953,0.7363539674202184,0.8866242220804643,47.74396642182581,953,1.0416833765317417,1.260496483725181,32.73871983210913,953,1.4550555853753906,1.6649282086849542,26.128016789087095,953,1.6616211952233173,1.9203725906567584,23.6096537250787,953,1.817673614738169,2.1408082853247685,,0,,,38.30010493179434,0.6186440677966102,61.86440677966102,590,953,1.6591852903366089,0.7016370363026523,0.10337164252996445,0.7363539674202184,1.1714489453261816,1.6917122417126318,0.6974191306825759,0.298354740332647,5.501838207244873,4.664149274317921,6.918924814079077,1.5330733448694016,38.30010493179434,expanded_pool
deit_small_patch16_224,deit_small_patch16_224,Supervised ViT / DeiT / DeiT3,932,True,True,,0,,,61.26609442060086,932,0.610073080433267,0.7398069604147647,48.497854077253216,932,0.8287530989503175,1.0141758680120285,36.587982832618025,932,1.0611696216602622,1.296548411053834,,0,,,28.00429184549356,932,1.3057478684655237,1.58782121458831,,0,,,33.261802575107296,0.542907180385289,54.290718038528894,571,932,1.3757668733596802,0.6708670447819794,0.02120834868401289,0.610073080433267,0.8981975110910441,1.3559998316709878,0.47221857229204856,0.22274431649504733,6.423443555831909,4.485305990175091,7.123030418097033,1.9121702102502147,33.261802575107296,expanded_pool
deit_tiny,deit_tiny,Supervised ViT / DeiT / DeiT3,885,True,True,54.68926553672316,885,0.31078290579067414,0.34041348245502656,40.225988700564976,885,0.512631399519897,0.5674947895233893,31.9774011299435,885,0.6360579318170423,0.7268832604552955,25.76271186440678,885,0.7637720639762127,0.8996920224083802,22.372881355932204,885,0.8567207236493779,1.0084685336179129,20.0,885,0.9262991282565167,1.0830994179767177,,0,,,20.225988700564976,0.5028089887640449,50.28089887640449,356,885,0.7750415802001953,0.6364714083978043,-0.05218280479311943,0.512631399519897,0.6940687524399647,0.9242934506251433,0.3196880733550578,0.14923636530420392,9.987003326416016,5.498792610704916,9.263853120665715,3.3442888195262634,20.225988700564972,day1
densenet121,densenet121,EfficientNet / DenseNet / MobileNet / Mixer,911,True,True,,0,,,41.602634467618,911,0.35332901932513683,0.37764919071905984,38.748627881448954,911,0.4022675114861931,0.43762042753464037,36.11416026344676,911,0.4456551620126046,0.4927390918042393,,0,,,34.13830954994512,911,0.48837885184664365,0.5519686255969779,,0,,,7.464324917672883,0.17941952506596306,17.941952506596305,379,911,0.7953905463218689,0.4288242458598468,-0.07045328617095947,0.35332901932513683,0.44052989503767304,0.5482508218975752,0.15673686959054223,0.07564806261894508,11.057863235473633,4.056533710769453,10.296065331625357,6.147644273552766,7.464324917672887,expanded_pool
densenet201,densenet201,EfficientNet / DenseNet / MobileNet / Mixer,929,True,True,,0,,,50.80731969860065,929,0.27420028625585946,0.29038348496278615,48.65446716899892,929,0.30319623510643234,0.3291472021960977,46.5016146393972,929,0.32118578040389956,0.36453543240072134,,0,,,44.13347685683531,929,0.3375781060870957,0.4028427613493016,,0,,,6.673842841765342,0.13135593220338984,13.135593220338984,472,929,0.9238680601119995,0.34412945230111847,-0.07483342289924622,0.27420028625585946,0.34567160631625704,0.41701106963432194,0.13176305975724745,0.06597494041381591,9.692086219787598,2.6738527933347864,8.968177788404077,5.972075400527967,6.673842841765342,expanded_pool
dino_resnet50,dino_resnet50,Self-supervised DINO / DINOv2,887,True,True,,0,,,37.0913190529876,887,0.35247463992915584,0.36769542505563696,33.82187147688839,887,0.4028760680594834,0.4328338950635673,31.34160090191657,887,0.44655977311697237,0.5017180019285165,,0,,,28.52311161217587,887,0.4962084657045702,0.5917859719821921,,0,,,8.56820744081173,0.23100303951367782,23.10030395136778,329,887,0.7480214238166809,0.446976508001228,-0.08634234219789505,0.35247463992915584,0.4206240600271692,0.49318327718092825,0.12274453061710994,0.061008959027929244,6.006140232086182,2.25414080470454,5.619173050273059,3.3076776710393005,8.568207440811726,day1
dino_vitb16,dino_vitb16,Self-supervised DINO / DINOv2,917,True,True,,0,,,78.29880043620501,917,0.1702742604116253,0.20487939041168465,76.99018538713194,917,0.18633279634733535,0.23662441100654005,76.22682660850599,917,0.1950491139028765,0.26235058843862935,,0,,,75.89967284623773,917,0.19986480525202732,0.28093091617734905,,0,,,2.3991275899672786,0.03064066852367688,3.064066852367688,718,917,2.1263864040374756,0.11531774588149446,0.035486843436956406,0.1702742604116253,0.2808991327787629,0.39103399012427215,0.18490894475759756,0.08776822427964459,11.543716430664062,1.9144552442605232,11.709501228377157,9.248440047114554,2.399127589967287,expanded_pool
dino_vitb8,dino_vitb8,Self-supervised DINO / DINOv2,930,True,True,,0,,,77.09677419354838,930,0.1266468909845102,0.1801918124632305,75.91397849462366,930,0.14891217847019478,0.23183000827973405,75.16129032258064,930,0.16823048543171915,0.2796349528579544,,0,,,73.9784946236559,930,0.18188471882724988,0.32987361238210944,,0,,,3.1182795698924792,0.040446304044630406,4.044630404463041,717,930,2.26872718334198,0.026940797576658904,0.08862285688519478,0.1266468909845102,0.2125259966902171,0.3504911737735755,0.1294888825196006,0.05598339643435546,9.46484088897705,1.2535646993373994,10.66034411836616,9.03534007862439,3.1182795698924792,expanded_pool
